lot_area_sq_m,distance_to_transit_km,renovation_cost_pesos,house_price_pesos
336,2.5,59415.6,8346298.72
285,4.1,217537.8,7181045.36
261,4.8,495064.5,6879077.4
221,1.2,232438.6,5743926.32
290,3.1,78531.0,7189237.2
338,1.6,168090.7,8571708.84
219,3.2,382516.0,5774019.2
248,3.2,424600.6,6549520.72
283,0.5,51910.2,7112292.24
187,1.7,367612.1,5031134.52
360,2.8,323540.4,9248248.48
117,2.9,175858.0,2991029.6
330,3.7,435768.8,8587922.56
271,2.2,472675.6,7232210.72
135,0.5,159477.5,3541373.0
303,1.1,227810.2,7793372.24
231,2.5,227253.4,5922704.08
97,2.7,385998.5,2753198.2
276,1.1,56468.7,6912762.44
190,0.8,305495.6,5076594.72
134,4.2,305774.5,3506929.4
178,4.5,56614.1,4292936.92
130,3.0,427353.3,3612823.96
273,3.2,303703.9,7029444.68
264,4.9,244647.4,6648576.88
149,3.8,408193.8,4024832.56
246,2.5,461853.7,6579224.44
116,1.3,177872.5,3048447.0
343,3.0,219774.5,8688729.4
168,2.8,459851.4,4611821.68
143,4.0,338087.1,3780704.52
82,3.8,449970.6,2399964.72
197,3.7,370718.5,5184862.2
117,1.7,93201.6,2951841.92
197,1.4,94999.5,4968999.4
340,4.2,102952.2,8413542.64
342,3.0,415306.1,8898367.32
180,3.6,362644.4,4755173.28
115,0.4,348949.1,3273738.92
313,0.4,322855.0,8192426.0
296,4.9,120185.1,7299222.12
128,4.9,216820.8,3215184.96
131,4.1,455885.1,3617062.12
86,1.8,429052.0,2574862.4
105,1.2,273441.5,2893129.8
242,4.2,96005.2,5955206.24
239,3.1,271061.4,6145273.68
195,4.9,460084.4,5182101.28
100,4.2,255077.1,2596092.52
160,1.3,426160.9,4446393.08
344,3.3,425264.8,8945317.76
226,4.1,177880.2,5658456.24
304,1.3,204265.5,7780118.6
300,4.3,132814.3,7444377.16
306,3.4,392008.1,7950409.72
199,2.8,180475.4,5051570.48
194,1.2,285556.6,5132667.92
139,4.6,349584.0,3664500.8
136,4.4,472120.9,3746545.08
88,3.2,473600.1,2608320.12
273,4.5,463503.0,7156203.6
324,3.8,214134.5,8166961.4
297,0.5,440903.0,7929083.6
323,1.3,130284.4,8166341.28
363,3.4,319232.4,9288078.88
376,4.7,114425.0,9302310.0
247,2.0,324729.3,6464675.16
364,3.2,442252.1,9470702.52
181,0.6,390432.0,4963518.4
95,1.9,213075.9,2535691.08
290,1.5,346013.1,7590215.72
146,3.0,468682.9,4062419.48
314,0.9,128788.2,7959545.84
391,3.3,169651.8,9813582.16
113,0.2,420763.0,3319915.6
124,1.3,231292.0,3312550.4
89,0.3,444403.4,2743284.08
135,1.8,309981.6,3656977.92
169,3.6,287938.3,4390525.96
207,0.5,106642.3,5277970.76
300,2.6,70120.5,7454144.6
202,1.6,469139.3,5532967.16
254,1.4,293440.8,6632128.96
260,1.6,320891.9,6805070.28
284,3.7,472193.3,7481631.96
106,1.7,90325.3,2673390.36
90,5.0,285818.6,2342982.32
244,1.9,430140.5,6521168.6
84,2.2,109398.8,2121278.56
158,4.9,165817.3,3903980.76
226,3.3,252682.3,5788218.76
97,0.3,271245.0,2735494.0
327,2.5,131403.6,8207684.32
385,1.0,257184.3,9883621.16
224,3.3,424113.9,5943936.68
392,0.5,474888.8,10344866.56
340,2.6,369033.5,8812840.2
355,2.6,493276.7,9336932.04
121,2.0,466560.3,3484872.36
247,4.5,86197.6,6053437.12
