lot_area_sq_m,distance_to_transit_km,renovation_cost_pesos,house_price_pesos
169,4.8,187701.1,4210241.32
131,0.5,321859.6,3636231.52
138,1.9,277732.2,3688278.64
259,3.6,345118.5,6709142.2
380,0.5,358156.4,9904787.68
334,0.5,113209.9,8460851.88
302,0.8,127370.3,7662844.36
192,3.0,86130.1,4753356.12
289,1.9,485877.2,7713052.64
379,1.2,438953.7,9941744.44
351,1.0,278070.7,9058684.84
83,4.4,87731.7,1960278.04
197,0.9,386029.2,5343235.04
153,4.2,344701.1,4028641.32
193,4.1,237908.5,4905490.2
150,3.9,180710.7,3771852.84
142,1.3,135955.7,3648146.84
374,0.4,163836.0,9526603.2
187,4.7,482102.6,5018523.12
191,0.3,415072.0,5258086.4
290,0.8,109154.0,7340984.8
305,1.1,135136.5,7732163.8
362,3.7,451165.8,9406398.96
368,3.6,479280.1,9595136.12
101,4.8,276822.7,2617187.24
339,4.5,472256.2,8816707.44
160,0.4,79285.1,4075142.12
213,4.8,176197.1,5296436.52
256,4.6,143782.5,6342539.0
368,1.2,323440.8,9528128.96
395,4.3,441738.8,10190086.56
212,3.4,253829.1,5434594.92
130,2.4,149776.1,3309731.32
286,0.6,258526.5,7430231.8
392,4.3,389082.6,10051899.12
167,3.6,401801.8,4477162.16
145,4.1,231598.8,3697918.56
344,4.3,256547.8,8692857.36
87,1.6,182356.9,2313828.28
289,3.6,330314.1,7441376.92
387,2.9,93928.6,9642714.32
348,4.1,180961.5,8712153.8
200,5.0,330855.9,5147027.08
320,1.7,67981.9,7996578.28
243,0.3,229384.8,6335261.76
372,3.6,383412.6,9580095.12
144,1.7,456951.8,4063342.16
302,1.7,471566.1,8030879.32
190,2.0,352679.0,5073214.8
336,3.9,180602.7,8421723.24
192,2.9,191561.8,4884874.16
326,2.0,497113.5,8646536.2
228,0.4,317750.3,6061300.36
314,0.3,302863.2,8198435.84
181,3.4,259651.5,4666581.8
255,3.1,257334.6,6528801.52
295,2.7,339837.5,7647805.0
175,1.5,102873.2,4423447.84
318,3.1,202479.6,8037975.52
367,3.3,327501.6,9403001.92
181,1.8,75367.5,4525441.0
115,1.5,122936.3,2947523.56
173,3.6,159589.3,4336507.16
141,3.0,217519.6,3636023.52
179,0.6,429017.1,4959820.52
175,2.6,135531.1,4407637.32
221,4.8,118260.0,5426912.0
330,3.7,407557.8,8554069.36
329,0.5,122093.2,8346511.84
330,1.2,324118.7,8578942.44
281,2.8,137665.6,7050198.72
281,1.3,316458.4,7339750.08
323,0.4,425967.3,8566160.76
85,5.0,235934.3,2158121.16
212,4.1,156933.1,5283319.72
251,1.6,207334.2,6443801.04
237,2.4,298109.3,6162731.16
251,1.6,348030.7,6612636.84
249,1.7,244034.1,6432840.92
366,1.9,393122.9,9526747.48
161,4.2,309125.9,4185951.08
377,2.7,299015.1,9648818.12
290,1.8,421506.6,7665807.92
160,4.0,257583.6,4109100.32
158,3.4,378216.0,4233859.2
166,1.5,85144.8,4177173.76
271,1.7,99401.4,6809281.68
142,1.5,168908.9,3677690.68
299,4.1,366073.2,7709287.84
322,1.5,362843.5,8410412.2
293,4.3,106336.3,7237603.56
390,4.8,299756.2,9869707.44
180,1.0,224897.7,4719877.24
127,1.9,360276.1,3512331.32
153,0.5,134555.0,3961466.0
312,4.4,442022.0,8110426.4
84,3.2,329872.9,2335847.48
274,2.0,158878.8,6940654.56
368,4.9,134907.6,9116889.12
80,4.1,497216.7,2391660.04
264,2.9,236601.3,6738921.56
321,3.7,216088.4,8099306.08
353,4.3,232363.9,8888836.68
127,2.2,57370.3,3133844.36
98,4.1,452447.6,2787937.12
262,2.1,297335.2,6801802.24
229,3.1,433398.3,6090077.96
333,3.9,286061.8,8473274.16
235,0.3,384514.0,6321416.8
126,2.3,233198.1,3314837.72
322,0.4,458613.5,8580336.2
374,3.7,293458.9,9517150.68
141,0.7,265334.8,3808401.76
353,0.5,196406.7,9035688.04
113,2.0,277054.0,3057464.8
268,3.0,258879.6,6860655.52
191,2.2,255826.7,4971992.04
160,1.5,280937.5,4262125.0
217,2.6,84685.1,5396622.12
151,1.9,388562.0,4146274.4
83,1.2,62833.4,2090400.08
285,1.0,175413.4,7285496.08
168,2.1,90791.3,4203949.56
130,4.7,436464.5,3538757.4
286,1.9,427117.0,7567540.4
144,2.5,187792.7,3700351.24
99,4.4,191289.7,2484547.64
288,4.1,189164.4,7221997.28
187,3.2,185048.9,4737058.68
398,4.9,188817.6,9931581.12
247,2.6,131592.9,6202911.48
225,0.8,436541.0,6108849.2
399,0.9,160561.1,10122673.32
264,2.3,51005.2,6546206.24
117,0.2,466698.1,3475037.72
238,1.7,77202.6,5957643.12
301,4.9,198505.6,7518206.72
351,0.6,97583.8,8862100.56
347,0.6,81301.2,8742561.44
139,3.6,63346.5,3371015.8
321,2.4,153782.9,8089539.48
150,0.2,214635.0,3997562.0
97,2.2,395851.4,2790021.68
293,1.1,136608.3,7433929.96
353,4.7,382563.2,9049075.84
246,1.4,318397.9,6462077.48
276,1.9,226789.8,7077147.76
351,4.8,172891.5,8742469.8
385,4.9,384767.4,9841720.88
123,3.6,135091.1,3057109.32
373,4.8,283364.2,9425037.04
89,4.8,488484.0,2571180.8
399,4.7,96495.2,9855794.24
200,4.7,363568.5,5201282.2
346,1.9,161557.1,8748868.52
108,0.5,141895.6,2845274.72
245,0.9,215918.1,6339101.72
130,2.6,394414.7,3593297.64
120,0.6,155723.6,3156868.32
89,4.7,245401.2,2284481.44
253,1.0,130066.7,6431080.04
343,2.4,181421.1,8672705.32
333,3.6,109082.2,8275898.64
86,2.8,289248.3,2357097.96
380,4.5,227443.5,9547932.2
381,2.6,368418.0,9837101.6
375,1.5,380252.8,9756303.36
192,2.2,336056.9,5093268.28
359,5.0,413857.0,9221628.4
375,3.7,156252.6,9377503.12
290,2.5,356860.9,7553233.08
149,5.0,447843.3,4012411.96
387,1.2,172639.5,9822167.4
273,2.4,261567.5,7018881.0
110,2.5,245918.2,2920101.84
93,3.2,363377.4,2601052.88
288,3.0,373555.3,7498266.36
252,0.5,192725.3,6506270.36
295,2.4,227738.7,7528286.44
103,3.3,102888.4,2533466.08
250,1.6,261526.4,6483831.68
304,3.5,138985.3,7591782.36
115,3.3,61019.7,2783223.64
200,4.2,97836.2,4907403.44
230,0.7,481368.3,6292641.96
355,4.5,240516.2,8938619.44
234,3.2,436357.2,6213628.64
314,4.2,287623.9,7985148.68
282,3.5,473721.7,7443466.04
348,3.4,452011.8,9072414.16
101,2.1,129427.8,2575313.36
345,2.4,403380.8,8989056.96
151,3.8,332694.6,3984233.52
234,3.2,486734.2,6274081.04
259,1.1,177626.0,6633151.2
91,3.2,401984.0,2597380.8
266,2.9,127867.8,6658441.36
178,3.4,54736.2,4345683.44
80,4.1,454762.7,2340715.24
245,5.0,79235.8,5970082.96
