lot_area_sq_m,distance_to_transit_km,renovation_cost_pesos,house_price_pesos
93,3.4,194931.3,2388917.56
191,2.3,452290.2,5202748.24
92,0.7,446033.5,2800240.2
169,0.5,99685.6,4319622.72
163,2.5,51167.1,4011400.52
275,1.0,295154.6,7179185.52
280,1.0,73589.6,7038307.52
296,4.8,405813.8,7646976.56
325,3.5,213359.1,8206030.92
161,4.7,348452.4,4208142.88
187,0.4,311393.9,5028672.68
298,0.6,170732.0,7624878.4
376,3.2,115764.1,9378916.92
128,2.5,234061.4,3355873.68
269,3.2,202913.0,6808495.6
337,4.2,310589.2,8587707.04
277,2.5,482567.4,7379080.88
284,4.9,184753.2,7076703.84
250,1.2,491194.0,6779432.8
293,1.0,50398.1,7335477.72
310,3.8,427987.8,8073585.36
304,4.2,171319.7,7595583.64
90,3.9,373005.3,2502606.36
365,2.1,314873.5,9397848.2
146,4.8,394329.8,3883195.76
192,2.4,189420.5,4907304.6
107,4.8,252253.7,2737704.44
262,4.4,418180.1,6831816.12
121,3.2,54678.0,2930613.6
132,4.5,359786.5,3506743.8
237,4.7,456701.1,6238041.32
352,2.0,378485.4,9154182.48
208,3.6,466072.6,5579287.12
333,0.5,97242.1,8416690.52
285,4.5,204864.1,7145836.92
141,0.9,392374.6,3950849.52
198,3.0,386212.2,5263454.64
210,0.8,248139.0,5507766.8
84,4.2,379537.3,2345444.76
297,2.5,225944.3,7571133.16
355,1.9,395720.9,9254865.08
221,4.2,452918.2,5858501.84
311,1.1,418710.4,8222452.48
104,3.5,435411.8,2947494.16
221,2.0,299074.2,5783889.04
168,1.3,259008.3,4445809.96
205,0.6,153818.1,5279581.72
149,0.3,156739.1,3898086.92
125,3.3,53857.9,3024629.48
246,3.9,360811.0,6387973.2
167,0.9,355336.4,4556403.68
286,1.3,245444.1,7379532.92
162,4.3,331877.0,4233252.4
350,0.7,402570.2,9198084.24
239,3.0,311132.6,6198359.12
315,1.2,145008.5,7989010.2
295,1.9,392760.3,7751312.36
387,3.3,59627.2,9581552.64
162,0.6,421604.3,4525925.16
396,1.8,225659.4,10080791.28
258,1.6,469433.2,6933319.84
369,4.6,292937.3,9346524.76
210,4.6,63252.5,5095903.0
302,3.3,255168.2,7691201.84
85,2.8,92466.6,2095959.92
206,0.5,262679.4,5440215.28
215,2.1,72215.4,5356658.48
96,0.6,423084.1,2877700.92
244,4.9,156121.2,6042345.44
274,1.7,314724.9,7142669.88
158,0.5,123716.0,4073459.2
326,0.2,478619.4,8714343.28
332,0.9,131867.6,8413241.12
388,0.6,230401.4,9946481.68
315,2.2,176131.8,7976358.16
97,1.0,458877.8,2925653.36
122,2.5,404163.2,3409995.84
356,2.3,313958.0,9161749.6
175,2.0,357477.8,4703973.36
250,0.4,483905.3,6810686.36
205,1.3,191656.8,5289988.16
236,3.4,298744.1,6088492.92
308,3.5,177789.9,7738347.88
189,0.3,466775.5,5270130.6
293,0.4,188783.0,7531539.6
262,2.6,135260.7,6582312.84
101,2.2,155426.3,2601511.56
242,2.3,296932.1,6291318.52
296,0.8,370471.7,7804566.04
337,2.0,481093.0,8902311.6
237,1.8,448602.6,6373323.12
357,4.8,449411.2,9224293.44
121,0.9,142729.3,3151275.16
321,2.1,188608.1,8146329.72
263,1.4,446043.8,7040252.56
118,2.2,66804.4,2920165.28
164,1.3,58423.0,4105107.6
327,3.0,167907.2,8226488.64
225,4.3,310489.3,5782587.16
238,4.6,477557.6,6293069.12
174,2.9,380849.3,4662019.16
260,2.6,276854.9,6702225.88
334,0.6,459609.6,8871531.52
356,4.4,50993.6,8741192.32
133,4.0,225472.7,3395567.24
185,0.7,382721.9,5049266.28
206,2.7,253918.1,5319701.72
216,0.9,406575.9,5842891.08
332,3.5,150481.1,8305577.32
221,1.3,96339.7,5575607.64
332,3.2,258299.7,8449959.64
396,4.6,258404.6,9980085.52
139,1.4,80687.5,3501825.0
355,3.7,362781.1,9125337.32
112,4.2,389729.3,3057675.16
383,0.4,81416.9,9652700.28
164,0.5,352255.2,4497706.24
397,3.2,271073.1,10090287.72
275,0.7,196748.1,7076097.72
199,2.2,139664.2,5032597.04
278,4.6,335566.3,7122679.56
113,0.6,255448.5,3101538.2
371,4.8,252066.1,9337479.32
296,1.9,144181.1,7478017.32
107,2.8,104793.9,2660752.68
352,1.4,492943.7,9321532.44
132,2.8,373013.4,3607616.08
373,0.6,348627.2,9713352.64
392,1.8,125629.5,9860755.4
226,2.1,57052.5,5613463.0
322,3.9,328164.9,8248797.88
210,4.7,362652.3,5450182.76
187,2.7,83901.7,4640682.04
202,4.6,372493.7,5266992.44
84,1.6,434606.2,2541527.44
129,3.2,121958.0,3211349.6
142,1.4,109511.0,3611413.2
270,4.2,470407.8,7104489.36
370,1.0,195080.2,9434096.24
191,3.3,461548.6,5163858.32
200,1.7,401781.9,5397138.28
283,4.2,318893.1,7247671.72
89,1.0,390049.0,2643058.8
277,3.4,334242.0,7156090.4
258,4.4,368039.4,6671647.28
241,1.8,189763.7,6162716.44
265,4.1,379103.2,6874923.84
136,3.9,57022.1,3273426.52
234,4.0,302165.9,6012599.08
287,0.5,495593.3,7744711.96
212,2.4,98092.5,5297711.0
156,1.9,178464.1,4019156.92
195,1.8,141991.3,4955389.56
99,0.5,384171.1,2911005.32
253,3.0,127866.1,6328439.32
205,3.5,95486.2,5064583.44
208,1.6,390206.7,5588248.04
370,4.7,205482.0,9261578.4
187,1.1,153100.8,4803720.96
367,3.5,487781.9,9585338.28
117,4.9,181120.1,2897344.12
189,3.2,458236.9,5114884.28
248,2.9,275773.9,6385928.68
348,2.3,229079.4,8859895.28
339,2.0,328145.5,8768774.6
371,3.5,316886.1,9480263.32
351,0.3,396897.3,9236276.76
294,3.4,123618.1,7328341.72
228,0.5,421787.5,6181145.0
209,1.4,266012.1,5474214.52
201,4.6,86444.2,4898733.04
92,2.4,162932.5,2375519.0
381,1.5,297614.7,9807137.64
378,3.6,170206.8,9474248.16
91,2.9,68546.3,2212255.56
209,4.4,207217.8,5253661.36
399,2.2,239050.2,10151860.24
339,2.3,122171.0,8506605.2
247,2.5,268281.6,6371937.92
299,3.1,207898.6,7569478.32
323,3.1,392062.4,8390474.88
313,3.7,435737.0,8162884.4
200,4.1,477757.0,5368308.4
208,3.6,444173.9,5553008.68
201,2.3,59650.8,4981580.96
378,1.6,440887.2,9899064.64
393,0.9,135528.1,9942633.72
383,3.7,341277.2,9799532.64
222,3.8,86983.9,5464380.68
270,0.7,89335.3,6822202.36
237,1.4,133137.8,6014765.36
192,4.0,448324.8,5137989.76
136,2.9,378613.2,3709335.84
261,1.6,222377.9,6711853.48
141,3.4,254947.1,3660936.52
384,3.1,464716.7,10002660.04
307,4.5,458226.2,7999871.44
160,2.1,95266.7,4009320.04
396,2.7,99541.9,9884450.28
232,1.3,144206.8,5908048.16
294,1.1,258364.0,7605036.8
354,4.4,205540.3,8876648.36
259,1.2,153514.0,6599216.8
89,0.7,140177.1,2358212.52
247,2.6,298764.0,6403516.8
104,1.9,388797.7,2971557.24
162,3.1,212558.6,4150070.32
208,4.7,188033.4,5190640.08
309,1.8,499964.1,8234956.92
392,1.9,437615.8,10230138.96
269,3.1,321465.9,6955759.08
264,3.2,128622.8,6594347.36
318,1.7,478294.6,8438953.52
318,1.0,303166.8,8263800.16
318,3.0,72472.6,7886967.12
299,0.2,435130.7,7987156.84
156,3.1,126493.7,3896792.44
359,3.0,333285.2,9224942.24
238,3.9,320434.7,6139521.64
178,1.4,308288.0,4749945.6
162,3.2,345259.2,4304311.04
190,1.2,296476.7,5045772.04
153,0.8,292619.6,4136143.52
276,2.3,487512.0,7370014.4
365,4.0,104380.5,9050256.6
